,prms_nhm_id,TGF_nhm_id
0,95965,113490
1,95966,113491
2,95968,113492
3,95969,113493
4,95970,113494
5,95974,113495
6,95977,113496
7,95979,113497
8,95980,113498
9,95981,113499
10,95985,113500
11,95998,113501
12,95999,113502
13,96000,113503
14,96002,113504
15,96011,113505
16,96023,113506
17,96024,113507
18,96028,113508
19,96029,113509
20,96033,113510
21,96034,113511
22,96037,113512
23,96038,113513
24,96049,113514
25,96050,113515
26,96055,113516
27,96056,113517
28,96057,113518
29,96079,113523
30,96080,113524
31,96081,113525
32,96084,113526
33,96085,113527
34,96088,113528
35,96090,113529
36,96094,113530
37,96095,113531
38,96096,113532
39,96105,113536
40,96109,113538
41,96110,113539
42,96111,113540
43,96119,113542
44,96120,113543
45,96122,113544
46,96124,113545
47,96130,113546
48,96134,113547
49,96135,113548
50,96140,113551
51,96141,113552
52,96144,113553
53,96164,113557
54,96165,113558
55,96888,114030
56,96891,114033
57,96902,114044
58,96903,114045
59,96904,114046
60,96905,114047
61,96906,114048
62,96907,114049
63,96931,114073
64,96932,114074
65,96933,114075
66,96937,114079
67,96977,114119
68,96981,114123
69,96986,114128
70,96993,114135
71,96281,113611
72,96282,113612
73,96284,113613
74,96287,113614
75,96288,113615
76,96289,113616
77,96291,113617
78,96296,113618
79,96297,113619
80,96300,113620
81,96301,113621
82,96302,113622
83,96304,113623
84,96307,113624
85,96309,113625
86,96310,113626
87,96311,113627
88,96312,113628
89,96313,113629
90,96314,113630
91,96317,113631
92,96318,113632
93,96319,113633
94,96322,113634
95,96325,113635
96,96327,113636
97,96328,113637
98,96337,113638
99,96352,113639
100,96354,113640
101,96355,113641
102,96357,113642
103,96358,113643
104,96363,113644
105,96364,113645
106,96366,113646
107,96367,113647
108,96368,113648
109,96369,113649
110,96371,113650
111,96372,113651
112,96374,113652
113,96375,113653
114,96378,113654
115,96381,113655
116,96385,113656
117,96386,113657
118,96387,113658
119,96388,113659
120,96391,113660
121,96392,113661
122,96394,113662
123,96397,113663
124,96398,113664
125,96400,113665
126,96401,113666
127,96406,113667
128,96409,113668
129,96410,113669
130,96414,113670
131,96415,113671
132,96421,113672
133,96424,113673
134,96425,113674
135,96431,113675
136,96433,113676
137,96435,113677
138,96436,113678
139,96443,113679
