! Landsat NALCMS land cover  
! 1	Temperate or sub-polar needleleaf forest	RGB (0, 61, 0)
! 2	Sub-polar taiga needleleaf forest	RGB (148, 156, 112)
! 3	Tropical or sub-tropical broadleaf evergreen forest	RGB (0, 99, 0)
! 4	Tropical or sub-tropical broadleaf deciduous forest	RGB (30, 171, 5)
! 5	Temperate or sub-polar broadleaf deciduous forest	RGB (20, 140, 61)
! 6	Mixed forest	RGB (92, 117, 43)
! 7	Tropical or sub-tropical shrubland	RGB (179, 158, 43)
! 8	Temperate or sub-polar shrubland	RGB (179, 138, 51)
! 9	Tropical or sub-tropical grassland	RGB (232, 220, 94)
! 10	Temperate or sub-polar grassland	RGB (225, 207, 138)
! 11	Sub-polar or polar shrubland-lichen-moss	RGB (156, 117, 84)
! 12	Sub-polar or polar grassland-lichen-moss	RGB (186, 212, 143)
! 13	Sub-polar or polar barren-lichen-moss	RGB (64, 138, 112)
! 14	Wetland	RGB (107, 163, 138)
! 15	Cropland	RGB (230, 174, 102)
! 16	Barren lands	RGB (168, 171, 174)
! 17	Urban	RGB (220, 33, 38)
! 18	Water	RGB (76, 112, 163)
! 19	Snow and ice	RGB (255, 250, 255)
! =====================================
! Adjusted Land Classes: 
! Milk River:
! 1	Temperate or sub-polar needleleaf forest	RGB (0, 61, 0)
! 2	Temperate or sub-polar broadleaf deciduous forest	RGB (20, 140, 61)
! 3	Mixed forest	RGB (92, 117, 43)
! 4	Temperate or sub-polar shrubland	RGB (179, 138, 51)
! 5	Temperate or sub-polar grassland	RGB (225, 207, 138)
! 6	Sub-polar or polar shrubland-lichen-moss	RGB (156, 117, 84)
! 7	Sub-polar or polar grassland-lichen-moss	RGB (186, 212, 143)
! 8	Wetland	RGB (107, 163, 138)
! 9	Cropland	RGB (230, 174, 102)
! 10	Barren lands	RGB (168, 171, 174)
! 11	Urban	RGB (220, 33, 38)
! 12	Water	RGB (76, 112, 163)
! St. Mary: 
! 13	Temperate or sub-polar needleleaf forest	RGB (0, 61, 0)
! 14	Temperate or sub-polar broadleaf deciduous forest	RGB (20, 140, 61)
! 15	Mixed forest	RGB (92, 117, 43)
! 16	Temperate or sub-polar shrubland	RGB (179, 138, 51)
! 17	Temperate or sub-polar grassland	RGB (225, 207, 138)
! 18	Wetland	RGB (107, 163, 138)
! 19	Cropland	RGB (230, 174, 102)
! 20	Barren lands	RGB (168, 171, 174)
! 21	Urban	RGB (220, 33, 38)
! 22	Water	RGB (76, 112, 163)
! 23	Snow and ice	RGB (255, 250, 255)
!													
! ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------													
!	SoilGrid V1												
!		original legend (raster_value)	description										
!	1	No Data		
!	 C 	2	 clay										
!	 SIC 	3	 silty clay										
!	 SC 	4	 sandy clay										
!	 CL 	5	 clay loam										
!	 SICL 	6	 silty clay loam										
!	 SCL 	7	 sandy clay loam										
!	 L 	8	 loam										
!	 SIL 	9	 silty loam										
!	 SL 	10	 sandy loam										
!	 SI 	11	 silt										
!	 LS 	12	 loamy sand										
!	 S 	13	  sand										
! ======================
! Adjusted Soil Types: 
! Milk River:
!	1	No Data		
!	 2	 clay										
!	 3	 silty clay										
!	 4	 sandy clay										
!	 5	 loam										
!	 6	 silty loam										
!	 7	 silt										
!	 8	 loamy sand										
!	 9	 sand										
! St Mary:
! 	10	No Data		
!	 11	 clay										
!	 12	 silty clay										
!	 13	 sandy clay										
!	14	 silty loam	
!	15	 silt
!	16	 loamy sand
!	17	  sand	
! ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	
!          SLC	LULC	SOIL TYPE	Main crop cropid	Second crop cropid	Crop rotation group	Vegetation type	Special class code	Tile depth	Stream depth	Number of soil layers	Soil layer depth 1	Soil layer depth 2	Soil layer depth 3
1	1	1	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
2	1	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
3	1	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
4	1	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
5	1	6	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
6	1	9	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
7	2	1	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
8	2	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
9	2	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
10	2	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
11	2	7	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
12	2	8	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
13	3	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
14	3	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
15	3	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
16	4	1	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
17	4	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
18	4	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
19	4	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
20	4	5	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
21	4	6	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
22	4	7	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
23	4	8	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
24	5	1	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
25	5	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
26	5	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
27	5	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
28	5	5	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
29	5	6	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
30	5	7	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
31	5	8	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
32	6	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
33	7	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
34	8	1	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
35	8	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
36	8	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
37	8	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
38	8	5	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
39	8	7	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
40	8	8	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
41	9	1	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
42	9	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
43	9	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
44	9	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
45	9	5	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
46	9	7	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
47	9	8	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
48	9	9	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
49	10	1	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
50	10	2	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
51	10	3	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
52	10	4	0	0	0	1	0	0	2.296	3	0.091	0.493	2.296
