subid	maindown	area	longitude	latitude	elev_mean	slope_mean	rivlen	hds_depth	SLC_1	SLC_2	SLC_3	SLC_4	SLC_5	SLC_6	SLC_7	SLC_8	SLC_9	SLC_10	SLC_11	SLC_12	SLC_13	SLC_14	SLC_15	SLC_16	SLC_17	SLC_18	SLC_19	SLC_20	SLC_21	SLC_22	SLC_23	SLC_24	SLC_25	SLC_26	SLC_27	SLC_28	SLC_29	SLC_30	SLC_31	SLC_32	SLC_33	SLC_34	SLC_35	SLC_36	SLC_37	SLC_38	SLC_39	SLC_40	SLC_41	SLC_42	SLC_43	SLC_44	SLC_45	SLC_46	SLC_47	SLC_48	SLC_49	SLC_50	SLC_51	SLC_52	SLC_53	SLC_54	SLC_55	SLC_56	SLC_57	SLC_58	SLC_59	SLC_60	SLC_61	SLC_62	SLC_63	SLC_64	SLC_65	SLC_66	SLC_67	SLC_68	SLC_69	SLC_70	SLC_71	SLC_72	SLC_73	SLC_74	SLC_75	SLC_76	SLC_77	SLC_78	SLC_79	SLC_80	SLC_81	SLC_82	SLC_83	SLC_84	SLC_85	SLC_86	SLC_87	SLC_88	SLC_89	SLC_90	SLC_91	SLC_92	SLC_93	SLC_94	SLC_95	SLC_96	SLC_97	SLC_98	SLC_99	SLC_100	SLC_101	SLC_102	SLC_103	SLC_104	SLC_105	SLC_106	SLC_107	SLC_108	SLC_109	SLC_110	SLC_111	SLC_112	SLC_113	SLC_114	SLC_115	SLC_116	SLC_117
58675	-9999	273052100.21649957	-107.97630520788	48.849059871336	860.715026855469	0.0	129339.99190152792	2.232598270770333	0.0	0.0	9.631509368988005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11047341246237424	0.012617277273383569	0.0	0.0	0.0	0.0	0.0	0.0	0.36657524658395346	0.0516248902178138	0.0022152471548688747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016277250833601757	0.0004815754684496973	0.0	0.0	0.0	0.0	0.0	0.17336716864191182	9.631509368988005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0003852603747597429	0.0	0.0	0.0	0.0	0.0	0.0049120697781874475	0.00019263018737983436	0.0	0.0	0.0	0.2586627238684472	0.0	0.001926301873799012	0.0	0.0	9.631509368988005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58674	-9999	272787799.9724999	-110.181345489879	48.6452426058047	851.569946289062	0.0	105620.00170123424	0.5098439986290604	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00229974343533051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06088844524017933	0.0	0.0	0.0	0.0013141391059031124	0.0006570695529515141	0.0	0.0	0.0	0.0	0.0033948593569164223	0.0	0.0	0.00010951159215851567	0.0	0.0	0.0018616970666961105	0.5521574476636405	0.0005475579607929145	0.0	0.08246222889542272	0.1223244484411514	0.0	0.0	0.0	0.0007665811451101139	0.0	0.0	0.0	0.0	0.0	0.007118253490308728	0.0	0.0	0.0008760927372687135	0.0009856043294273133	0.1597175533670943	0.0	0.0025187666196477094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58673	-9999	287640800.2654996	-109.130975701877	49.3153961425221	988.979125976562	0.0	188640.0011020424	2.6742045963424412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008641539958835831	0.0007201283299030055	0.0	0.0	0.0	0.0	0.0	0.0	0.12321395724640763	0.269832085214664	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12400609840930138	0.02001956757130411	0.0	0.0	0.0010081796618642196	0.0	0.0	0.0	0.004392782812408411	0.00021603849897089576	0.0	0.0	0.0	0.0	0.0034566159835345096	0.0027364876536314447	0.0	0.0	0.0	0.40999885931045066	0.0	0.02045164456924596	0.01893937507644957	0.0	0.0	0.0001440256659805775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58672	-9999	958655399.9935	-108.892602833291	49.1692947965639	948.367614746094	0.0	295200.00220334734	1.646900275942228	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003848130539437879	0.002765843825220988	0.0	0.0	0.0	0.0	0.0	9.620326348589781e-05	0.1892077684609872	0.09500072269237309	0.0	0.0	4.810163174297375e-05	7.215244761440699e-05	0.0	0.0	0.0	0.0	0.0009860834507309279	0.0002645589745863337	0.0	0.0	0.0	0.0	0.005267128675855576	0.2985908790445093	0.004738010726682909	0.0	0.002525335666506079	0.009403869005751344	0.0	0.0	0.0	0.0011784899777028545	0.00012025407935738868	0.0	7.215244761440699e-05	0.0	4.810163174297375e-05	0.006878533339245266	0.0007215244761445941	0.0	4.810163174297375e-05	7.215244761440699e-05	0.3446633691337266	0.0008177277396304919	0.027874895595053295	0.0033911650378796185	0.0	0.000937981818987946	0.00036076223807229705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58671	-9999	386012100.0519999	-108.661660386608	49.257402493542	922.959106445312	0.0	202460.00660218537	0.7825551175889504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0007353351452646779	0.0	0.0	0.0	0.0	0.0	0.0	5.6564241943437475e-05	0.016743015615257463	0.00028282120971715043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00882402174317626	0.47332957658268426	0.00910684295289341	0.0	0.028451813697549018	0.036257679085743386	0.0	0.0	0.0	0.0005656424194343629	0.0	5.6564241943437475e-05	0.0	0.0	0.0	0.017478350760522142	0.0003959496936040479	0.0	0.00011312848388683534	0.0013575418066424586	0.37943370163854834	0.00045251393554746554	0.023078210712922476	0.00028282120971715043	0.0	0.0010747205969253082	0.0019231842260768216	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58670	-9999	113833700.09449972	-108.037126559944	49.2763340795167	903.197509765625	0.0	94979.9934010499	1.9772992613099283	0.0	0.0	0.00020108691375863728	0.0	0.0	0.0	0.0	0.0	0.00020108691375863728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010858693342968179	0.0014076083963106573	0.0	0.0	0.0	0.0	0.0	0.0	0.1114021502223035	0.1345271453045504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34828253463001707	0.011059780256726883	0.0	0.0	0.0	0.0	0.0	0.0	0.00020108691375863728	0.0	0.0	0.0	0.0	0.0	0.007038041981553483	0.0008043476550346799	0.0	0.0	0.0	0.34606535645680425	0.0	0.025336951133592422	0.0026141298788626773	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58669	-9999	90987099.77100044	-108.137941728632	49.254702880398	920.520141601562	0.0	94819.99530096805	1.7062810602730354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016413274884802603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0027355458141337203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007112419116747843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6357408472046892	0.004650427884027381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013951283652082286	0.0	0.0	0.0	0.0	0.2931349616278327	0.0	0.040759632630593255	0.0002735545814133296	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58668	-9999	96387500.15249972	-108.595935651229	49.0566065498878	923.523559570312	0.0	81920.00250083511	1.9617026321386049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011350717699640852	0.0007567145133093728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09799452947356603	0.0035943939382196114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027998436992447466	0.3439267462991182	0.0	0.0	0.005675358849820425	0.003972751194874272	0.0	0.0	0.00037835725665466053	0.00037835725665466053	0.0	0.0	0.0	0.0	0.0	0.0051078229648383565	0.0	0.0	0.0	0.0	0.48278563015303155	0.0015134290266187456	0.023647328540918482	0.0001891786283273044	0.0	0.0001891786283273044	0.0007567145133093728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58667	-9999	390270200.1374997	-107.664077991978	49.0290941453696	821.283386230469	0.0	145260.00750160497	0.9826457718541175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015116549934392447	0.011724543607650737	7.373926797264597e-05	0.0	0.0	0.0	0.0	0.0	0.2543267352376556	0.28824679850507273	0.003539484862687003	0.0	0.0	0.0	0.0	0.0	0.0002212178039178969	0.0	0.0014747853594529177	0.0005899141437811671	0.0	0.0	0.0	0.0	0.000811131947699064	0.15389385225891186	0.060318721201624334	0.0	0.00014747853594529177	0.0	0.0	0.0018434816993161067	0.0009586104836443558	0.0025071351110699603	0.0	0.00014747853594529177	7.373926797264597e-05	0.0	0.0	0.0025071351110699603	0.0014747853594529177	0.0	0.0	7.373926797264597e-05	0.18436995695456426	0.0	0.010470976052115716	0.005088009490112526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
58666	-9999	127284199.97799993	-108.415613736576	49.0144120691483	905.766235351562	0.0	114820.00140120005	1.2612781700321245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012542529274289995	0.0005017011709715782	0.0	0.0	0.0	0.0	0.0	0.0	0.057528400938076804	0.006020414051659178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0023412721312007986	0.0	0.0	0.0	0.0	0.0	0.014382100234519217	0.4804624880671361	0.0005017011709715782	0.0	0.0008361686182859435	0.0	0.0	0.0	0.0	0.0005017011709715782	0.0	0.0	0.0	0.0	0.00016723372365715262	0.007692751288231187	0.0	0.0	0.0	0.0	0.39846029600505134	0.0008361686182859435	0.01705783981303444	0.0	0.0	0.00016723372365715262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
