!!Subbasin assessment. Criteria is calculated for period DD. Variables: rout, cout  Unit: m3/s  
SUBID	NSE	CC	RE(%)	RSDE(%)	Sim	Rec	SDSim	SDRec	MAE	RMSE	Bias	SDE	KGE	KGESD	KGEM	NRMSE	NSEW
58643	-0.1697	0.5737	-49.6828	14.1059	0.327	0.6498	0.8755	0.7673	0.5415	0.8298	-0.3228	0.1082	0.3304	1.1411	0.5032	0.0357	0.0073
58408	0.1595	0.5595	-4.6477	-4.9398	2.4168	2.5346	5.0903	5.3548	1.9609	4.9092	-0.1178	-0.2645	0.5543	0.9506	0.9535	0.0447	0.16
58308	0.1862	0.5149	-22.3757	-22.4972	4.2364	5.4576	8.9295	11.5215	4.1924	10.3936	-1.2212	-2.592	0.4203	0.775	0.7762	0.0445	0.1974
58346	0.5224	0.7791	33.1083	4.3992	1.2329	0.9262	2.6653	2.553	0.7803	1.7643	0.3067	0.1123	0.5996	1.044	1.3311	0.0407	0.5368
58356	-0.0697	0.4292	37.1275	-7.0803	1.2656	0.923	5.0976	5.4861	1.4508	5.6741	0.3427	-0.3884	0.3154	0.9292	1.3713	0.0242	-0.0658
58363	-0.0679	0.5116	13.5827	8.4274	1.3743	1.2099	4.2464	3.9163	1.3468	4.0472	0.1643	0.33	0.4861	1.0843	1.1358	0.0294	-0.0662
58418	0.4128	0.6448	9.5258	-40.6556	0.9452	0.863	2.615	4.4065	0.8656	3.3768	0.0822	-1.7915	0.4518	0.5934	1.0953	0.0157	0.4131
58435	-0.1969	0.1654	-74.9359	-47.2918	0.1645	0.6563	0.8482	1.6093	0.6525	1.7606	-0.4918	-0.7611	-0.2173	0.5271	0.2506	0.045	-0.1035
58290	-0.0075	0.4731	3.5234	-4.615	3.1997	3.0908	9.0176	9.4538	3.2989	9.4892	0.1089	-0.4363	0.4699	0.9539	1.0352	0.0396	-0.0074
58328	0.3049	0.5806	0.2513	-24.0011	1.9179	1.9131	7.8624	10.3454	1.8757	8.625	0.0048	-2.483	0.5168	0.76	1.0025	0.0183	0.3049
58292	-5.3237	0.2789	175.0908	158.0238	1.1634	0.4229	5.8821	2.2797	1.1446	5.7326	0.7405	3.6024	-1.4663	2.5802	2.7509	0.0861	-5.2182
58232	0.3862	0.7823	-59.7733	-30.9538	2.2495	5.5921	4.9499	7.169	3.5647	5.6167	-3.3426	-2.2191	0.2925	0.6905	0.4023	0.0507	0.6036
58213	0.6935	0.8657	-25.8761	-2.0967	15.2523	20.5768	25.1148	25.6526	9.0411	14.2016	-5.3245	-0.5378	0.7077	0.979	0.7412	0.0637	0.7366
58208	0.698	0.8621	-13.7032	4.3887	21.1193	24.4728	31.8263	30.4882	10.5362	16.754	-3.3536	1.3381	0.8007	1.0439	0.863	0.0408	0.7101
