           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,              1,   85.76523    ,   73.19163    ,  0.1226930    ,   226.3334    ,   306.5915    ,  -2.051147    ,   20.32024    ,   17.91566    ,  -43.41679    ,  -1.778473    ,  -3.161438    ,   4.183611    ,  -5.063446    ,   0.000000    ,   1.488281    ,   2.255005    ,   1.002960    ,  0.2934023E-02,   2.927710    ,   91044.55    ,
           1980,              2,   42.18826    ,   34.99371    ,  0.1540240    ,   255.3754    ,   295.7781    ,  -4.400085    ,   24.58129    ,   12.52886    ,  -42.92824    ,  -6.197723    ,  -5.341980    ,   4.213899    ,  -5.380676    ,   0.000000    , -0.1232910E-01,   1.291870    ,   1.010742    ,  0.2278021E-02,   4.137740    ,   91426.73    ,
           1980,              3,   44.66520    ,   36.91093    ,  0.1567130    ,   251.5794    ,   301.1151    ,  -3.212646    ,  -10.63421    ,   16.76042    ,  -18.73117    ,  -3.290192    ,  -3.460480    ,   4.179239    ,  -2.573853    ,   0.000000    , -0.3500366E-01,  0.9920959    ,   1.012268    ,  0.2660666E-02,   8.364337    ,   90408.84    ,
           1980,              4,   52.35863    ,   43.30304    ,  0.1560981    ,   218.5827    ,   276.0883    ,  -9.041718    ,   11.83515    ,   3.306881    ,  -29.15225    ,  -8.424530    ,  -9.723938    ,   4.213821    ,  -5.089691    ,   0.000000    , -0.3944702    ,   2.325409    ,   1.015625    ,  0.1826062E-02,   3.569646    ,   90868.06    ,
           1980,              5,   22.99919    ,   18.69757    ,  0.1713271    ,   255.4914    ,   269.0640    ,  -10.70447    ,   19.05301    ,   7.093868    ,  -20.32829    ,  -12.23761    ,  -11.49207    ,   4.205606    ,  -6.697327    ,   0.000000    ,  -1.255737    ,   2.365906    ,   1.031219    ,  0.1441824E-02,   6.884569    ,   90413.15    ,
           1980,              6,   63.62277    ,   49.45189    ,  0.2029359    ,   187.4867    ,   230.8651    ,  -20.60619    ,   27.22569    ,   9.392412    ,  -28.27435    ,  -21.64043    ,  -21.46840    ,   4.211068    ,  -9.728882    ,   0.000000    ,  -4.235596    ,   1.913208    ,   1.045563    ,  0.5406671E-03,   6.914431    ,   91302.05    ,
           1980,              7,   63.72963    ,   49.91200    ,  0.1970817    ,   166.4172    ,   219.2680    ,  -23.81381    ,   24.33057    ,   3.792822    ,  -30.83694    ,  -25.00960    ,  -24.57793    ,   4.237290    ,  -12.67856    ,   0.000000    ,  -7.020935    ,  0.5130310    ,   1.054596    ,  0.4065031E-03,   5.703064    ,   91056.27    ,
           1980,              8,   57.94322    ,   45.59334    ,  0.1944747    ,   163.9191    ,   205.1917    ,  -27.91556    ,   38.73561    ,   2.443721    ,  -36.80874    ,  -30.46236    ,  -29.03865    ,   4.287117    ,  -14.77179    ,   0.000000    ,  -8.844452    ,  0.2612305E-01,   1.055054    ,  0.2299361E-03,   4.393143    ,   91614.38    ,
           1980,              9,   47.25009    ,   37.09683    ,  0.1969230    ,   197.6080    ,   216.9996    ,  -24.47238    ,   44.61368    ,   3.118068    ,  -31.77181    ,  -27.08560    ,  -25.61934    ,   4.234902    ,  -14.16559    ,   0.000000    ,  -7.892883    ,  0.1953125E-02,   1.055664    ,  0.3463679E-03,   3.405547    ,   90243.48    ,
           1980,             10,   41.00029    ,   31.32642    ,  0.2202315    ,   209.8929    ,   225.2161    ,  -22.12581    ,   34.82904    ,   7.001565    ,  -26.21181    ,  -24.51451    ,  -23.13310    ,   4.141857    ,  -12.31982    ,   0.000000    ,  -6.468079    , -0.8911133E-02,   1.054077    ,  0.4418750E-03,   6.084780    ,   88940.35    ,
           1980,             11,   71.87095    ,   54.92390    ,  0.2187083    ,   156.6792    ,   213.5218    ,  -25.56715    ,   19.65521    ,   5.305354    ,  -28.84355    ,  -26.29121    ,  -25.96233    ,   4.158222    ,  -13.24042    ,   0.000000    ,  -7.204468    , -0.7257080E-01,   1.050415    ,  0.3854859E-03,   5.565931    ,   90511.80    ,
