           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW,
           1980,              1,  0.2890749E-01,  0.2836138    ,   18.49405    ,  0.4998181E-04,   18.49400    ,   0.000000    ,  -17.32251    ,  0.2890749E-01,  0.2836138    ,   18.49405    ,  0.4998181E-04,   18.49400    ,   0.000000    ,  0.9221158E-02,  0.9628369E-04,  0.2148819E-03,   0.000000    ,   0.000000    ,   23.05525    ,  0.5595555    ,   23.61481    ,   62.78715    ,   0.000000    ,   62.78715    ,   488.4814    ,   0.000000    ,   488.4814    ,   574.3238    ,  0.5595555    ,   574.8834    ,   4.590986    ,   0.000000    ,   579.4839    ,  -17.32251    ,
           1980,              2,  0.4692219    ,  0.7119187    ,   18.69081    ,  0.1655407E-02,   18.68915    ,   0.000000    ,  -19.15466    ,  0.4403143    ,  0.4283049    ,  0.1967529    ,  0.1605425E-02,  0.1951474    ,   0.000000    ,  0.1848272    ,  0.1207659E-02,  0.2772534E-01,  0.3147715E-08,   0.000000    ,   17.90188    ,   7.779438    ,   25.68132    ,   60.85245    ,  0.1584412E-02,   60.85405    ,   476.4992    ,   0.000000    ,   476.4992    ,   555.2535    ,   7.781023    ,   563.0345    ,   13.56344    ,   0.000000    ,   576.8117    ,  -2.672180    ,
           1980,              3,   1.274135    ,   1.251041    ,   18.69748    ,  0.4656250E-02,   18.69282    ,   0.000000    ,  -19.54865    ,  0.8049127    ,  0.5391225    ,  0.6671851E-02,  0.3000844E-02,  0.3671007E-02,   0.000000    ,  0.3994910    ,  0.2599375E-01,  0.1636768    ,  0.4473752E-04,   0.000000    ,   16.22140    ,   14.66773    ,   30.88912    ,   56.43115    ,  0.1451816E-01,   56.44568    ,   466.4295    ,   0.000000    ,   466.4295    ,   539.0820    ,   14.68224    ,   553.7643    ,   22.32995    ,   0.000000    ,   576.6834    , -0.1282959    ,
           1980,              4,   1.577207    ,   1.360865    ,   18.70020    ,  0.7369315E-02,   18.69282    ,   0.000000    ,  -19.74976    ,  0.3030721    ,  0.1098241    ,  0.2713066E-02,  0.2713066E-02,   0.000000    ,   0.000000    ,  0.4217181    ,  0.4899321E-03,  0.2862130    ,  0.1584154E-05,   0.000000    ,   10.80719    ,   23.03366    ,   33.84084    ,   54.56157    ,  0.1250160    ,   54.68658    ,   458.6405    ,   0.000000    ,   458.6405    ,   524.0093    ,   23.15868    ,   547.1680    ,   28.68563    ,   0.000000    ,   576.5620    , -0.1214600    ,
           1980,              5,   8.526447    ,   1.581568    ,   18.70236    ,  0.9528967E-02,   18.69282    ,   0.000000    ,  -19.31433    ,   6.949241    ,  0.2207023    ,  0.2159651E-02,  0.2159651E-02,   0.000000    ,   0.000000    ,   1.820004    ,  0.1548087E-09,   1.504199    ,  0.5258677E-08,   0.000000    ,   7.007354    ,   28.40309    ,   35.41045    ,   53.43187    ,  0.6322802    ,   54.06415    ,   452.5463    ,   0.000000    ,   452.5463    ,   512.9855    ,   29.03537    ,   542.0209    ,   33.65298    ,   0.000000    ,   578.9980    ,   2.436035    ,
           1980,              6,   10.26653    ,   1.868438    ,   18.70236    ,  0.9528967E-02,   18.69282    ,   0.000000    ,  -18.03339    ,   1.740078    ,  0.2868709    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   3.970649    ,   0.000000    ,   4.957827    ,   0.000000    ,   0.000000    ,   4.534598    ,   31.39523    ,   35.92982    ,   52.71806    ,   1.299620    ,   54.01768    ,   447.8377    ,   0.000000    ,   447.8377    ,   505.0904    ,   32.69485    ,   537.7852    ,   37.77002    ,   0.000000    ,   584.4838    ,   5.485779    ,
           1980,              7,   10.38568    ,   1.984030    ,   18.70236    ,  0.9528967E-02,   18.69282    ,   0.000000    ,  -17.14886    ,  0.1191603    ,  0.1155913    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   3.566304    ,   0.000000    ,   5.468216    ,   0.000000    ,   0.000000    ,   4.013649    ,   32.21503    ,   36.22868    ,   50.03311    ,   4.338511    ,   54.37163    ,   443.5469    ,   0.000000    ,   443.5469    ,   497.5937    ,   36.55354    ,   534.1472    ,   41.30515    ,   0.000000    ,   584.4869    ,  0.3112793E-02,
           1980,              8,   10.59809    ,   2.058505    ,   18.70236    ,  0.9528967E-02,   18.69282    ,   0.000000    ,  -16.50439    ,  0.2124065    ,  0.7447530E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   3.230135    ,   0.000000    ,   5.880607    ,   0.000000    ,   0.000000    ,   4.001588    ,   32.38675    ,   36.38833    ,   44.33589    ,   11.20161    ,   55.53750    ,   439.0812    ,   0.000000    ,   439.0812    ,   487.4187    ,   43.58836    ,   531.0070    ,   44.34546    ,   0.000000    ,   584.4633    , -0.2362061E-01,
           1980,              9,   11.80439    ,   2.153532    ,   18.70236    ,  0.9528967E-02,   18.69282    ,   0.000000    ,  -15.94141    ,   1.206295    ,  0.9502683E-01,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   3.221270    ,   0.000000    ,   6.583889    ,   0.000000    ,   0.000000    ,   4.000000    ,   32.45623    ,   36.45624    ,   36.62807    ,   20.63349    ,   57.26157    ,   434.6011    ,   0.000000    ,   434.6011    ,   475.2292    ,   53.08973    ,   528.3188    ,   46.94062    ,   0.000000    ,   585.0646    ,  0.6013794    ,
           1980,             10,   17.50855    ,   2.366913    ,   18.70236    ,  0.9528967E-02,   18.69282    ,   0.000000    ,  -15.08746    ,   5.704164    ,  0.2133810    ,   0.000000    ,   0.000000    ,   0.000000    ,   0.000000    ,   4.277606    ,   0.000000    ,   9.490346    ,   0.000000    ,   0.000000    ,   3.999999    ,   32.48030    ,   36.48030    ,   30.51346    ,   28.65725    ,   59.17070    ,   430.3595    ,   0.000000    ,   430.3595    ,   464.8729    ,   61.13755    ,   526.0105    ,   49.16235    ,   0.000000    ,   588.9407    ,   3.876099    ,
