Merit_reorderd_ID,Outlet_Number,Rank,Next,Segid,tosegment
40,0,1,2,58241,58237
38,0,2,4,58237,58232
35,0,3,4,58233,58232
34,0,4,5,58232,58223
28,0,5,6,58223,58221
26,0,6,8,58221,58216
25,0,7,9,58219,58214
22,0,8,10,58216,58213
21,0,9,10,58214,58213
20,0,10,12,58213,58212
30,0,11,13,58227,58210
19,0,12,13,58212,58210
18,0,13,16,58210,58208
37,0,14,18,58236,58222
16,0,15,19,58207,58206
17,0,16,20,58208,58205
29,0,17,21,58225,58218
27,0,18,21,58222,58218
15,0,19,22,58206,58203
14,0,20,23,58205,58202
24,0,21,24,58218,58217
13,0,22,25,58203,58197
12,0,23,25,58202,58197
23,0,24,27,58217,58194
10,0,25,27,58197,58194
36,0,26,28,58234,58201
9,0,27,29,58194,58193
11,0,28,31,58201,58189
8,0,29,31,58193,58189
32,0,30,32,58229,58188
6,0,31,35,58189,58186
5,0,32,35,58188,58186
39,0,33,36,58240,58231
7,0,34,37,58192,58185
4,0,35,37,58186,58185
33,0,36,38,58231,58228
3,0,37,39,58185,58184
31,0,38,456,58228,58183
2,0,39,456,58184,58183
247,1,40,457,58452,58444
0,17,41,43,58661,58609
451,17,42,44,58658,58607
402,17,43,44,58609,58607
400,17,44,45,58607,58508
303,17,45,48,58508,58434
293,17,46,48,58498,58434
436,17,47,49,58643,58567
231,17,48,50,58434,58408
361,17,49,52,58567,58421
205,17,50,54,58408,58385
338,17,51,56,58544,58379
218,17,52,56,58421,58379
413,17,53,57,58620,58383
182,17,54,57,58385,58383
269,17,55,58,58474,58377
176,17,56,58,58379,58377
180,17,57,61,58383,58354
174,17,58,61,58377,58354
416,17,59,65,58623,58492
351,17,60,65,58557,58492
455,17,61,66,58354,58343
449,17,62,68,58656,58541
337,17,63,68,58543,58541
419,17,64,69,58626,58507
287,17,65,70,58492,58335
141,17,66,70,58343,58335
426,17,67,73,58633,58534
336,17,68,73,58541,58534
302,17,69,75,58507,58331
133,17,70,75,58335,58331
442,17,71,76,58649,58621
432,17,72,76,58639,58621
329,17,73,77,58534,58495
368,17,74,79,58574,58330
129,17,75,79,58331,58330
414,17,76,82,58621,58485
290,17,77,82,58495,58485
423,17,78,83,58630,58325
128,17,79,83,58330,58325
440,17,80,87,58647,58521
372,17,81,87,58578,58521
280,17,82,88,58485,58323
123,17,83,88,58325,58323
441,17,84,89,58648,58525
439,17,85,90,58646,58520
390,17,86,90,58597,58520
316,17,87,91,58521,58322
121,17,88,91,58323,58322
320,17,89,94,58525,58493
315,17,90,96,58520,58319
120,17,91,96,58322,58319
437,17,92,97,58644,58561
332,17,93,100,58537,58449
288,17,94,101,58493,58461
438,17,95,102,58645,58593
117,17,96,103,58319,58311
355,17,97,106,58561,58476
339,17,98,107,58545,58458
434,17,99,109,58641,58414
244,17,100,109,58449,58414
256,17,101,110,58461,58428
386,17,102,112,58593,58309
109,17,103,112,58311,58309
389,17,104,114,58596,58540
391,17,105,115,58598,58486
271,17,106,116,58476,58431
253,17,107,117,58458,58422
347,17,108,118,58553,58409
211,17,109,118,58414,58409
225,17,110,119,58428,58397
453,17,111,120,58660,58308
107,17,112,120,58309,58308
452,17,113,122,58659,58570
335,17,114,123,58540,58467
281,17,115,124,58486,58415
228,17,116,124,58431,58415
219,17,117,125,58422,58387
206,17,118,125,58409,58387
194,17,119,126,58397,58360
106,17,120,127,58308,58289
450,17,121,132,58657,58465
364,17,122,133,58570,58500
262,17,123,134,58467,58407
212,17,124,134,58415,58407
184,17,125,136,58387,58351
157,17,126,136,58360,58351
87,17,127,137,58289,58287
448,17,128,138,58655,58651
333,17,129,139,58538,58505
433,17,130,140,58640,58530
373,17,131,142,58579,58417
260,17,132,142,58465,58417
295,17,133,144,58500,58440
204,17,134,145,58407,58389
395,17,135,148,58602,58346
149,17,136,148,58351,58346
85,17,137,149,58287,58286
444,17,138,150,58651,58453
300,17,139,150,58505,58453
325,17,140,151,58530,58468
367,17,141,152,58573,58396
214,17,142,152,58417,58396
403,17,143,153,58610,58603
457,17,144,154,58440,58366
186,17,145,154,58389,58366
406,17,146,155,58613,58371
279,17,147,155,58484,58371
144,17,148,156,58346,58285
84,17,149,156,58286,58285
248,17,150,157,58453,58445
263,17,151,162,58468,58393
193,17,152,162,58396,58393
396,17,153,163,58603,58356
163,17,154,163,58366,58356
168,17,155,166,58371,58284
83,17,156,166,58285,58284
240,17,157,168,58445,58420
237,17,158,168,58441,58420
375,17,159,169,58581,58426
334,17,160,169,58539,58426
388,17,161,170,58595,58399
190,17,162,171,58393,58375
153,17,163,172,58356,58341
309,17,164,173,58514,58451
273,17,165,174,58478,58390
82,17,166,175,58284,58283
299,17,167,178,58504,58394
217,17,168,178,58420,58394
223,17,169,180,58426,58382
196,17,170,180,58399,58382
172,17,171,181,58375,58363
139,17,172,182,58341,58326
246,17,173,183,58451,58425
187,17,174,184,58390,58282
81,17,175,184,58283,58282
425,17,176,185,58632,58405
236,17,177,187,58439,58384
191,17,178,187,58394,58384
360,17,179,189,58566,58347
179,17,180,189,58382,58347
160,17,181,190,58363,58321
124,17,182,191,58326,58317
222,17,183,192,58425,58281
80,17,184,192,58282,58281
202,17,185,193,58405,58279
412,17,186,194,58619,58511
181,17,187,195,58384,58378
378,17,188,196,58584,58487
145,17,189,197,58347,58314
119,17,190,197,58321,58314
115,17,191,198,58317,58306
79,17,192,200,58281,58278
77,17,193,200,58279,58278
306,17,194,204,58511,58359
175,17,195,204,58378,58359
282,17,196,209,58487,58301
112,17,197,209,58314,58301
104,17,198,210,58306,58302
417,17,199,211,58624,58277
76,17,200,211,58278,58277
422,17,201,212,58629,58547
435,17,202,213,58642,58617
383,17,203,214,58590,58532
156,17,204,215,58359,58355
420,17,205,218,58627,58555
397,17,206,220,58604,58477
318,17,207,220,58523,58477
340,17,208,221,58546,58297
99,17,209,221,58301,58297
100,17,210,222,58302,58276
75,17,211,222,58277,58276
341,17,212,224,58547,58519
410,17,213,225,58617,58536
327,17,214,228,58532,58463
152,17,215,229,58355,58349
407,17,216,230,58614,58592
447,17,217,231,58654,58577
349,17,218,232,58555,58512
348,17,219,233,58554,58273
272,17,220,233,58477,58273
95,17,221,234,58297,58275
74,17,222,234,58276,58275
374,17,223,235,58580,58274
314,17,224,235,58519,58274
331,17,225,236,58536,58447
319,17,226,236,58524,58447
356,17,227,237,58562,58433
258,17,228,237,58463,58433
147,17,229,238,58349,58337
385,17,230,239,58592,58529
371,17,231,239,58577,58529
307,17,232,240,58512,58460
71,17,233,242,58273,58272
73,17,234,243,58275,58271
72,17,235,243,58274,58271
242,17,236,244,58447,58402
230,17,237,244,58433,58402
135,17,238,246,58337,58327
324,17,239,248,58529,58480
255,17,240,249,58460,58446
454,17,241,252,58587,58506
70,17,242,253,58272,58269
69,17,243,253,58271,58269
199,17,244,255,58402,58374
270,17,245,259,58475,58320
125,17,246,259,58327,58320
429,17,247,260,58636,58560
275,17,248,261,58480,58424
241,17,249,261,58446,58424
384,17,250,263,58591,58494
357,17,251,263,58563,58494
301,17,252,264,58506,58268
67,17,253,264,58269,58268
305,17,254,266,58510,58372
171,17,255,266,58374,58372
421,17,256,267,58628,58518
328,17,257,267,58533,58518
408,17,258,268,58615,58462
118,17,259,269,58320,58312
354,17,260,271,58560,58418
221,17,261,271,58424,58418
431,17,262,272,58638,58516
289,17,263,273,58494,58267
66,17,264,273,58268,58267
297,17,265,277,58502,58368
169,17,266,277,58372,58368
313,17,267,279,58518,58457
257,17,268,279,58462,58457
110,17,269,280,58312,58307
304,17,270,281,58509,58400
215,17,271,282,58418,58410
311,17,272,283,58516,58266
65,17,273,283,58267,58266
286,17,274,285,58491,58454
274,17,275,285,58479,58454
167,17,276,287,58370,58365
165,17,277,287,58368,58365
424,17,278,289,58631,58556
252,17,279,290,58457,58412
105,17,280,291,58307,58305
197,17,281,292,58400,58345
207,17,282,295,58410,58265
64,17,283,295,58266,58265
353,17,284,297,58559,58450
249,17,285,297,58454,58450
418,17,286,299,58625,58362
162,17,287,299,58365,58362
427,17,288,300,58634,58549
350,17,289,301,58556,58470
209,17,290,302,58412,58304
103,17,291,302,58305,58304
143,17,292,305,58345,58315
392,17,293,306,58599,58427
312,17,294,307,58517,58263
63,17,295,307,58265,58263
277,17,296,309,58482,58423
245,17,297,309,58450,58423
404,17,298,311,58611,58358
159,17,299,311,58362,58358
343,17,300,313,58549,58459
265,17,301,313,58470,58459
102,17,302,317,58304,58300
443,17,303,318,58650,58531
409,17,304,320,58616,58310
113,17,305,320,58315,58310
224,17,306,323,58427,58262
61,17,307,323,58263,58262
358,17,308,325,58564,58411
220,17,309,325,58423,58411
370,17,310,327,58576,58357
155,17,311,327,58358,58357
445,17,312,332,58652,58398
254,17,313,332,58459,58398
322,17,314,333,58527,58471
317,17,315,333,58522,58471
405,17,316,334,58612,58296
98,17,317,334,58300,58296
326,17,318,335,58531,58437
456,17,319,337,58542,58298
108,17,320,337,58310,58298
330,17,321,338,58535,58419
161,17,322,339,58364,58261
60,17,323,339,58262,58261
345,17,324,341,58551,58403
208,17,325,341,58411,58403
394,17,326,343,58601,58350
154,17,327,343,58357,58350
393,17,328,346,58600,58499
362,17,329,346,58568,58499
376,17,330,347,58582,58435
296,17,331,347,58501,58435
195,17,332,348,58398,58367
266,17,333,350,58471,58295
94,17,334,350,58296,58295
234,17,335,352,58437,58395
342,17,336,354,58548,58294
96,17,337,354,58298,58294
216,17,338,355,58419,58260
59,17,339,355,58261,58260
382,17,340,357,58589,58401
200,17,341,357,58403,58401
298,17,342,359,58503,58348
148,17,343,359,58350,58348
430,17,344,360,58637,58550
366,17,345,361,58572,58404
294,17,346,361,58499,58404
232,17,347,362,58435,58361
164,17,348,362,58367,58361
264,17,349,363,58469,58290
