"","STATION_NUMBER","DATE","VALUE","SOURCE","DRAINAGE_AREA"
"1","05014500",1912-06-01,410,"USGS",NA
"2","05014500",1912-06-02,390,"USGS",NA
"3","05014500",1912-06-03,360,"USGS",NA
"4","05014500",1912-06-04,340,"USGS",NA
"5","05014500",1912-06-05,313,"USGS",NA
"6","05014500",1912-06-06,280,"USGS",NA
"7","05014500",1912-06-07,266,"USGS",NA
"8","05014500",1912-06-08,364,"USGS",NA
"9","05014500",1912-06-09,485,"USGS",NA
"10","05014500",1912-06-10,554,"USGS",NA
"11","05014500",1912-06-11,485,"USGS",NA
"12","05014500",1912-06-12,706,"USGS",NA
"13","05014500",1912-06-13,554,"USGS",NA
"14","05014500",1912-06-14,554,"USGS",NA
"15","05014500",1912-06-15,454,"USGS",NA
"16","05014500",1912-06-16,338,"USGS",NA
"17","05014500",1912-06-17,312,"USGS",NA
"18","05014500",1912-06-18,312,"USGS",NA
"19","05014500",1912-06-19,364,"USGS",NA
"20","05014500",1912-06-20,422,"USGS",NA
"21","05014500",1912-06-21,422,"USGS",NA
"22","05014500",1912-06-22,485,"USGS",NA
"23","05014500",1912-06-23,485,"USGS",NA
"24","05014500",1912-06-24,628,"USGS",NA
"25","05014500",1912-06-25,485,"USGS",NA
"26","05014500",1912-06-26,422,"USGS",NA
"27","05014500",1912-06-27,364,"USGS",NA
"28","05014500",1912-06-28,312,"USGS",NA
"29","05014500",1912-06-29,312,"USGS",NA
"30","05014500",1912-06-30,422,"USGS",NA
"31","05014500",1912-07-01,364,"USGS",NA
"32","05014500",1912-07-02,312,"USGS",NA
"33","05014500",1912-07-03,312,"USGS",NA
"34","05014500",1912-07-04,266,"USGS",NA
"35","05014500",1912-07-05,266,"USGS",NA
"36","05014500",1912-07-06,266,"USGS",NA
"37","05014500",1912-07-07,225,"USGS",NA
"38","05014500",1912-07-08,225,"USGS",NA
"39","05014500",1912-07-09,225,"USGS",NA
"40","05014500",1912-07-10,225,"USGS",NA
"41","05014500",1912-07-11,225,"USGS",NA
"42","05014500",1912-07-12,225,"USGS",NA
"43","05014500",1912-07-13,188,"USGS",NA
