DNRC Gauge Name,USGS ID,Name,Latitude,Longitude
Swiftcurrent Creek at Sherburne Reservoir,5014500,SWCSB,48.79883333,-113.6567306
"St. Mary River near Babb, MT",5017500,SMRBB,48.83305556,-113.4197222
St. Mary River at International Boundary,5020500,SMRIB,49.01140833,-113.2995472
Milk River at Western Crossing of International Boundary,6133000,MRWIB,49.00751667,-112.5452583
North Fork Milk River above St Mary Canal near Browning,6133500,NFKMR,48.96352778,-113.0623556
Milk River at Eastern Crossing,6135000,MREIB,48.97481944,-110.4217778
Big Sandy Creek at Mouth,6139500,BSCMO,48.52671389,-109.8415778
Clear Creek at Mouth,6142400,CLCMO,48.57886667,-109.3911139
Lodge Creek at International Boundary,6145500,LDCIB,49.00566667,-109.7177556
Battle Creek at International Boundary,6149500,BTCIB,49.00155000,-109.4224944
Peoples Creek at Mouth,6154550,PPCMO,48.36363333,-108.3562389
Frenchman River at International Boundary,6164000,FRRIB,49.00001944,-107.3028639
Beaver Creek Bowdoin,6167500,BCBMO,48.42031111,-107.1711389
Rock Creek at Mouth,6171000,RKCMO,48.45270278,-107.0365333
